City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
264,Alta Floresta,BR,76.82,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
265,Pascagoula,US,76.05,broken clouds,30.3658,-88.5561,Regency Inn
269,Farafangana,MG,75.69,light rain,-22.8167,47.8333,Miarina
277,Mackay,AU,87.67,clear sky,-21.15,149.2,International Lodge Motel
282,San Patricio,US,89.69,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
284,Panaba,MX,82.81,clear sky,21.2833,-88.2667,Hotel California
285,Port Keats,AU,82.8,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
287,Dingle,PH,77.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
290,Kailua,US,78.78,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
295,Bowen,AU,82.62,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
297,Jaru,BR,76.57,broken clouds,-10.4389,-62.4664,Hotel Paraná
298,Itaituba,BR,79.29,overcast clouds,-4.2761,-55.9836,Hotel Campos
309,Santiago Del Estero,AR,79.81,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
314,Emilio Carranza,MX,79.81,few clouds,19.9711,-96.6114,casa carranza
315,Boyolangu,ID,76.84,overcast clouds,-8.1181,111.8935,Yos ega cv
320,Kirakira,SB,82.63,light rain,-10.4544,161.9205,SanBiz Lodge
321,Charters Towers,AU,85.01,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
323,Lunsar,SL,76.03,scattered clouds,8.6833,-12.5333,C S E Compound
326,Puerto Escondido,MX,83.73,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
328,Hambantota,LK,76.77,overcast clouds,6.1241,81.1185,Bungalow 63
329,Brazzaville,CG,75.79,broken clouds,-4.2658,15.2832,Hotel Muesse
330,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
